t,surface,vessel,distance,input,POI
65,45.37,5.5,1,55,100.00
66,45.38,5.5,1,55,100.00
67,45.39,5.5,1,55,100.00
68,45.40,5.5,1,55,100.00
69,45.40,5.5,1,55,100.00
70,45.41,5.5,1,55,100.00
71,45.41,5.5,1,55,100.00
72,45.42,5.5,1,55,100.00
73,45.42,5.5,1,55,100.00
74,45.43,5.5,1,55,100.00
75,45.43,5.5,1,55,100.00
76,45.43,5.5,1,55,100.00
77,45.43,5.5,1,55,100.00
78,45.44,5.5,1,55,100.00
79,45.44,5.5,1,55,100.00
80,45.44,5.5,1,55,100.00
81,45.44,5.5,1,55,100.00
82,45.44,5.5,1,55,100.00
83,45.44,5.5,1,55,100.00
84,45.44,5.5,1,55,100.00
85,45.45,5.5,1,55,100.00
86,45.45,5.5,1,55,100.00
87,45.45,5.5,1,55,100.00
88,45.45,5.5,1,55,100.00
89,45.45,5.5,1,55,100.00
90,45.45,5.5,1,55,100.00
91,45.45,5.5,1,55,100.00
92,45.45,5.5,1,55,100.00
93,45.45,5.5,1,55,100.00
94,45.45,5.5,1,55,100.00
95,45.45,5.5,1,55,100.00
96,45.45,5.5,1,55,100.00
97,45.45,5.5,1,55,100.00
98,45.45,5.5,1,55,100.00
99,45.45,5.5,1,55,100.00
100,45.45,5.5,1,55,100.00
101,45.45,5.5,1,55,100.00
102,45.45,5.5,1,55,100.00
103,45.45,5.5,1,55,100.00
104,45.45,5.5,1,55,100.00
105,45.45,5.5,1,55,100.00
106,45.45,5.5,1,55,100.00
107,45.46,5.5,1,55,100.00
108,45.46,5.5,1,55,100.00
109,45.46,5.5,1,55,100.00
110,45.46,5.5,1,55,100.00
111,45.46,5.5,1,55,100.00
112,45.46,5.5,1,55,100.00
113,45.46,5.5,1,55,100.00
114,45.46,5.5,1,55,100.00
115,45.46,5.5,1,55,100.00
116,45.46,5.5,1,55,100.00
117,45.46,5.5,1,55,100.00
118,45.46,5.5,1,55,100.00
119,45.46,5.5,1,55,100.00
120,45.46,5.5,1,55,100.00
121,45.46,5.5,1,55,100.00
122,45.46,5.5,1,55,100.00
123,45.46,5.5,1,55,100.00
124,45.46,5.5,1,55,100.00
125,45.46,5.5,1,55,100.00
126,45.46,5.5,1,55,100.00
127,45.46,5.5,1,55,100.00
128,45.46,5.5,1,55,100.00
129,45.46,5.5,1,55,100.00
130,45.46,5.5,1,55,100.00
131,45.46,5.5,1,55,100.00
132,45.46,5.5,1,55,100.00
133,45.46,5.5,1,55,100.00
134,45.46,5.5,1,55,100.00
135,45.46,5.5,1,55,100.00
136,45.46,5.5,1,55,100.00
137,45.46,5.5,1,55,100.00
138,45.46,5.5,1,55,100.00
139,45.46,5.5,1,55,100.00
140,45.46,5.5,1,55,100.00
141,45.46,5.5,1,55,100.00
142,45.46,5.5,1,55,100.00
143,45.46,5.5,1,55,100.00
144,45.46,5.5,1,55,100.00
145,45.46,5.5,1,55,100.00
146,45.46,5.5,1,55,100.00
147,45.46,5.5,1,55,100.00
148,45.46,5.5,1,55,100.00
149,45.46,5.5,1,55,100.00
150,45.46,5.5,1,55,100.00
151,45.46,5.5,1,55,100.00
152,45.46,5.5,1,55,100.00
153,45.46,5.5,1,55,100.00
154,45.46,5.5,1,55,100.00
155,45.46,5.5,1,55,100.00
156,45.46,5.5,1,55,100.00
157,45.46,5.5,1,55,100.00
158,45.46,5.5,1,55,100.00
159,45.46,5.5,1,55,100.00
160,45.46,5.5,1,55,100.00
161,45.46,5.5,1,55,100.00
162,45.46,5.5,1,55,100.00
163,45.46,5.5,1,55,100.00
164,45.46,5.5,1,55,100.00
165,45.46,5.5,1,55,100.00
166,45.46,5.5,1,55,100.00
167,45.46,5.5,1,55,100.00
168,45.46,5.5,1,55,100.00
169,45.46,5.5,1,55,100.00
170,45.46,5.5,1,55,100.00
171,45.46,5.5,1,55,100.00
172,45.46,5.5,1,55,100.00
173,45.46,5.5,1,55,100.00
174,45.46,5.5,1,55,100.00
175,45.46,5.5,1,55,100.00
176,45.46,5.5,1,55,100.00
177,45.46,5.5,1,55,100.00
178,45.46,5.5,1,55,100.00
179,45.46,5.5,1,55,100.00
180,45.46,5.5,1,55,100.00
