t,Surface,vessel,distance,POI
28,39.52,6,0,56.66
29,39.55,6,0,57.13
30,39.58,6,0,57.59
31,39.61,6,0,58.03
32,39.63,6,0,58.47
33,39.66,6,0,58.9
34,39.68,6,0,59.32
35,39.71,6,0,59.73
36,39.73,6,0,60.13
37,39.75,6,0,60.52
38,39.78,6,0,60.91
39,39.8,6,0,61.29
40,39.82,6,0,61.66
41,39.84,6,0,62.02
42,39.86,6,0,62.38
43,39.88,6,0,62.73
44,39.9,6,0,63.08
45,39.92,6,0,63.42
46,39.94,6,0,63.75
47,39.96,6,0,64.08
48,39.97,6,0,64.4
49,39.99,6,0,64.72
50,40.01,6,0,65.03
51,40.03,6,0,65.34
52,40.04,6,0,65.64
53,40.06,6,0,65.94
54,40.08,6,0,66.23
55,40.09,6,0,66.52
56,40.11,6,0,66.8
57,40.12,6,0,67.08
58,40.14,6,0,67.36
59,40.15,6,0,67.63
60,40.17,6,0,67.9
61,40.18,6,0,68.16
62,40.2,6,0,68.42
63,40.21,6,0,68.68
64,40.22,6,0,68.93
65,40.24,6,0,69.19
66,40.25,6,0,69.43
67,40.26,6,0,69.68
68,40.28,6,0,69.92
69,40.29,6,0,70.15
70,40.3,6,0,70.39
71,40.31,6,0,70.62
72,40.33,6,0,70.85
73,40.34,6,0,71.07
74,40.35,6,0,71.3
75,40.36,6,0,71.52
76,40.37,6,0,71.74
77,40.38,6,0,71.95
78,40.4,6,0,72.16
79,40.41,6,0,72.37
80,40.42,6,0,72.58
81,40.43,6,0,72.79
82,40.44,6,0,72.99
83,40.45,6,0,73.19
84,40.46,6,0,73.39
85,40.47,6,0,73.58
86,40.48,6,0,73.78
87,40.49,6,0,73.97
88,40.5,6,0,74.16
89,40.51,6,0,74.35
90,40.52,6,0,74.53
1,37.95,6,1,38
2,38.29,6,1,39.02
3,38.52,6,1,40.05
4,38.7,6,1,41.08
5,38.84,6,1,42.1
6,38.97,6,1,43.11
7,39.08,6,1,44.09
8,39.17,6,1,45.04
9,39.26,6,1,45.96
10,39.34,6,1,46.84
11,39.42,6,1,47.7
12,39.48,6,1,48.53
13,39.55,6,1,49.33
14,39.61,6,1,50.1
15,39.66,6,1,50.85
16,39.71,6,1,51.57
17,39.76,6,1,52.27
18,39.81,6,1,52.95
19,39.86,6,1,53.6
20,39.9,6,1,54.24
21,39.94,6,1,54.85
22,39.98,6,1,55.45
23,40.02,6,1,56.03
24,40.05,6,1,56.6
25,40.09,6,1,57.15
26,40.12,6,1,57.69
27,40.15,6,1,58.21
28,40.19,6,1,58.72
29,40.22,6,1,59.21
30,40.25,6,1,59.7
31,40.27,6,1,60.17
32,40.3,6,1,60.63
33,40.33,6,1,61.08
34,40.35,6,1,61.52
35,40.38,6,1,61.95
36,40.4,6,1,62.37
37,40.43,6,1,62.79
38,40.45,6,1,63.19
39,40.48,6,1,63.59
40,40.5,6,1,63.97
41,40.52,6,1,64.35
42,40.54,6,1,64.73
43,40.56,6,1,65.09
44,40.58,6,1,65.45
45,40.6,6,1,65.8
46,40.62,6,1,66.15
47,40.64,6,1,66.49
48,40.66,6,1,66.82
49,40.68,6,1,67.15
50,40.7,6,1,67.47
51,40.71,6,1,67.79
52,40.73,6,1,68.1
53,40.75,6,1,68.41
54,40.76,6,1,68.71
55,40.78,6,1,69
56,40.8,6,1,69.3
57,40.81,6,1,69.58
58,40.83,6,1,69.87
59,40.84,6,1,70.15
60,40.86,6,1,70.42
61,40.87,6,1,70.69
62,40.89,6,1,70.96
63,40.9,6,1,71.22
64,40.92,6,1,71.48
65,40.93,6,1,71.73
66,40.94,6,1,71.99
67,40.96,6,1,72.23
68,40.97,6,1,72.48
69,40.98,6,1,72.72
70,40.99,6,1,72.96
71,41.01,6,1,73.19
72,41.02,6,1,73.43
73,41.03,6,1,73.66
74,41.04,6,1,73.88
75,41.06,6,1,74.1
76,41.07,6,1,74.32
77,41.08,6,1,74.54
78,41.09,6,1,74.76
79,41.1,6,1,74.97
80,41.11,6,1,75.18
81,41.12,6,1,75.39
82,41.14,6,1,75.59
83,41.15,6,1,75.79
84,41.16,6,1,76
85,41.17,6,1,76.19
86,41.18,6,1,76.39
87,41.19,6,1,76.58
88,41.2,6,1,76.77
89,41.21,6,1,76.96
90,41.22,6,1,77.15
1,37.51,7,0,37.66
2,37.72,7,0,38.33
3,37.86,7,0,39
4,37.98,7,0,39.67
5,38.08,7,0,40.35
6,38.16,7,0,41.02
7,38.24,7,0,41.69
8,38.3,7,0,42.35
9,38.36,7,0,42.99
10,38.42,7,0,43.63
11,38.47,7,0,44.25
12,38.52,7,0,44.87
13,38.57,7,0,45.46
14,38.61,7,0,46.05
15,38.65,7,0,46.62
16,38.69,7,0,47.18
17,38.73,7,0,47.72
18,38.76,7,0,48.26
19,38.8,7,0,48.78
20,38.83,7,0,49.29
21,38.86,7,0,49.79
22,38.89,7,0,50.28
23,38.92,7,0,50.75
24,38.95,7,0,51.22
25,38.97,7,0,51.68
26,39,7,0,52.13
27,39.03,7,0,52.56
28,39.05,7,0,52.99
29,39.07,7,0,53.41
30,39.1,7,0,53.83
31,39.12,7,0,54.23
32,39.14,7,0,54.63
33,39.16,7,0,55.02
34,39.18,7,0,55.4
35,39.2,7,0,55.78
36,39.22,7,0,56.14
37,39.24,7,0,56.51
38,39.26,7,0,56.86
39,39.28,7,0,57.21
40,39.3,7,0,57.55
41,39.31,7,0,57.89
42,39.33,7,0,58.22
43,39.35,7,0,58.55
44,39.36,7,0,58.87
45,39.38,7,0,59.19
46,39.39,7,0,59.5
47,39.41,7,0,59.8
48,39.43,7,0,60.11
49,39.44,7,0,60.4
50,39.45,7,0,60.7
51,39.47,7,0,60.98
52,39.48,7,0,61.27
53,39.5,7,0,61.55
54,39.51,7,0,61.82
55,39.52,7,0,62.09
56,39.54,7,0,62.36
57,39.55,7,0,62.63
58,39.56,7,0,62.89
59,39.57,7,0,63.15
60,39.59,7,0,63.4
61,39.6,7,0,63.65
62,39.61,7,0,63.9
63,39.62,7,0,64.14
64,39.63,7,0,64.38
65,39.65,7,0,64.62
66,39.66,7,0,64.85
67,39.67,7,0,65.09
68,39.68,7,0,65.31
69,39.69,7,0,65.54
70,39.7,7,0,65.76
71,39.71,7,0,65.98
72,39.72,7,0,66.2
73,39.73,7,0,66.42
74,39.74,7,0,66.63
75,39.75,7,0,66.84
76,39.76,7,0,67.05
77,39.77,7,0,67.26
78,39.78,7,0,67.46
79,39.79,7,0,67.66
80,39.8,7,0,67.86
81,39.81,7,0,68.06
82,39.82,7,0,68.25
83,39.82,7,0,68.44
84,39.83,7,0,68.63
85,39.84,7,0,68.82
86,39.85,7,0,69.01
87,39.86,7,0,69.19
88,39.87,7,0,69.37
89,39.88,7,0,69.55
90,39.88,7,0,69.73
1,37.45,7,1,37.6
2,37.63,7,1,38.2
3,37.76,7,1,38.8
4,37.86,7,1,39.41
5,37.95,7,1,40.02
6,38.03,7,1,40.63
7,38.1,7,1,41.23
8,38.16,7,1,41.83
9,38.21,7,1,42.42
10,38.27,7,1,43
11,38.32,7,1,43.57
12,38.36,7,1,44.12
13,38.4,7,1,44.67
14,38.44,7,1,45.2
15,38.48,7,1,45.72
16,38.52,7,1,46.23
17,38.55,7,1,46.73
18,38.58,7,1,47.22
19,38.61,7,1,47.69
20,38.64,7,1,48.16
21,38.67,7,1,48.61
22,38.7,7,1,49.06
23,38.73,7,1,49.49
24,38.75,7,1,49.92
25,38.78,7,1,50.33
26,38.8,7,1,50.74
27,38.82,7,1,51.14
28,38.85,7,1,51.53
29,38.87,7,1,51.91
30,38.89,7,1,52.29
31,38.91,7,1,52.66
32,38.93,7,1,53.02
33,38.95,7,1,53.37
34,38.97,7,1,53.71
35,38.99,7,1,54.05
36,39,7,1,54.39
37,39.02,7,1,54.71
38,39.04,7,1,55.04
39,39.06,7,1,55.35
40,39.07,7,1,55.66
41,39.09,7,1,55.97
42,39.1,7,1,56.27
43,39.12,7,1,56.56
44,39.13,7,1,56.85
45,39.15,7,1,57.13
46,39.16,7,1,57.41
47,39.18,7,1,57.69
48,39.19,7,1,57.96
49,39.2,7,1,58.23
50,39.22,7,1,58.49
51,39.23,7,1,58.75
52,39.24,7,1,59
53,39.25,7,1,59.25
54,39.27,7,1,59.5
55,39.28,7,1,59.75
56,39.29,7,1,59.99
57,39.3,7,1,60.22
58,39.31,7,1,60.46
59,39.32,7,1,60.69
60,39.33,7,1,60.91
61,39.35,7,1,61.14
62,39.36,7,1,61.36
63,39.37,7,1,61.58
64,39.38,7,1,61.79
65,39.39,7,1,62
66,39.4,7,1,62.21
67,39.41,7,1,62.42
68,39.42,7,1,62.62
69,39.43,7,1,62.82
70,39.44,7,1,63.02
71,39.44,7,1,63.22
72,39.45,7,1,63.41
73,39.46,7,1,63.6
74,39.47,7,1,63.79
75,39.48,7,1,63.98
76,39.49,7,1,64.17
77,39.5,7,1,64.35
78,39.51,7,1,64.53
79,39.51,7,1,64.71
80,39.52,7,1,64.88
81,39.53,7,1,65.06
82,39.54,7,1,65.23
83,39.55,7,1,65.4
84,39.55,7,1,65.57
85,39.56,7,1,65.74
86,39.57,7,1,65.9
87,39.58,7,1,66.07
88,39.59,7,1,66.23
89,39.59,7,1,66.39
90,39.6,7,1,66.55
1,37.63,8,0,37.92
2,37.93,8,0,38.83
3,38.14,8,0,39.7
4,38.31,8,0,40.51
5,38.45,8,0,41.26
6,38.58,8,0,41.96
7,38.69,8,0,42.62
8,38.79,8,0,43.23
9,38.88,8,0,43.81
10,38.96,8,0,44.36
11,39.04,8,0,44.87
12,39.12,8,0,45.36
13,39.19,8,0,45.83
14,39.25,8,0,46.27
15,39.31,8,0,46.7
16,39.37,8,0,47.11
17,39.43,8,0,47.5
18,39.48,8,0,47.88
19,39.53,8,0,48.24
20,39.58,8,0,48.59
21,39.63,8,0,48.93
22,39.67,8,0,49.26
23,39.72,8,0,49.58
