t,Surface,vessel,distance,input,POI
35,40.85,5,0,40,68.02
36,40.88,5,0,40,68.51
37,40.91,5,0,40,68.99
38,40.94,5,0,40,69.46
39,40.97,5,0,40,69.93
40,41.00,5,0,40,70.38
41,41.03,5,0,40,70.83
42,41.06,5,0,40,71.26
43,41.09,5,0,40,71.69
44,41.11,5,0,40,72.11
45,41.14,5,0,40,72.52
46,41.16,5,0,40,72.92
47,41.19,5,0,40,73.32
48,41.21,5,0,40,73.71
49,41.24,5,0,40,74.09
50,41.26,5,0,40,74.47
51,41.28,5,0,40,74.84
52,41.31,5,0,40,75.20
53,41.33,5,0,40,75.56
54,41.35,5,0,40,75.92
55,41.37,5,0,40,76.26
56,41.39,5,0,40,76.60
57,41.42,5,0,40,76.94
58,41.44,5,0,40,77.27
59,41.46,5,0,40,77.60
60,41.48,5,0,40,77.92
61,41.50,5,0,40,78.24
62,41.51,5,0,40,78.55
63,41.53,5,0,40,78.85
64,41.55,5,0,40,79.16
65,41.57,5,0,40,79.46
66,41.59,5,0,40,79.75
67,41.61,5,0,40,80.04
68,41.62,5,0,40,80.33
69,41.64,5,0,40,80.61
70,41.66,5,0,40,80.89
71,41.68,5,0,40,81.17
72,41.69,5,0,40,81.44
73,41.71,5,0,40,81.71
74,41.72,5,0,40,81.97
75,41.74,5,0,40,82.24
76,41.76,5,0,40,82.49
77,41.77,5,0,40,82.75
78,41.79,5,0,40,83.00
79,41.80,5,0,40,83.25
80,41.82,5,0,40,83.50
81,41.83,5,0,40,83.74
82,41.85,5,0,40,83.98
83,41.86,5,0,40,84.22
84,41.87,5,0,40,84.45
85,41.89,5,0,40,84.69
86,41.90,5,0,40,84.92
87,41.92,5,0,40,85.14
88,41.93,5,0,40,85.37
89,41.94,5,0,40,85.59
90,41.96,5,0,40,85.81
91,41.97,5,0,40,86.03
92,41.98,5,0,40,86.24
93,42.00,5,0,40,86.46
94,42.01,5,0,40,86.67
95,42.02,5,0,40,86.88
96,42.03,5,0,40,87.08
97,42.05,5,0,40,87.29
98,42.06,5,0,40,87.49
99,42.07,5,0,40,87.69
100,42.08,5,0,40,87.89
101,42.09,5,0,40,88.08
102,42.10,5,0,40,88.28
103,42.12,5,0,40,88.47
104,42.13,5,0,40,88.66
105,42.14,5,0,40,88.85
106,42.15,5,0,40,89.03
107,42.16,5,0,40,89.22
108,42.17,5,0,40,89.40
109,42.18,5,0,40,89.58
110,42.19,5,0,40,89.76
111,42.20,5,0,40,89.94
112,42.21,5,0,40,90.12
113,42.22,5,0,40,90.29
114,42.24,5,0,40,90.47
115,42.25,5,0,40,90.64
116,42.26,5,0,40,90.81
117,42.27,5,0,40,90.98
118,42.28,5,0,40,91.14
119,42.29,5,0,40,91.31
120,42.29,5,0,40,91.47
121,42.30,5,0,40,91.64
122,42.31,5,0,40,91.80
123,42.32,5,0,40,91.96
124,42.33,5,0,40,92.12
125,42.34,5,0,40,92.27
126,42.35,5,0,40,92.43
127,42.36,5,0,40,92.58
128,42.37,5,0,40,92.74
129,42.38,5,0,40,92.89
130,42.39,5,0,40,93.04
131,42.40,5,0,40,93.19
132,42.41,5,0,40,93.34
133,42.41,5,0,40,93.49
134,42.42,5,0,40,93.63
135,42.43,5,0,40,93.78
136,42.44,5,0,40,93.92
137,42.45,5,0,40,94.06
138,42.46,5,0,40,94.20
139,42.46,5,0,40,94.34
140,42.47,5,0,40,94.48
141,42.48,5,0,40,94.62
142,42.49,5,0,40,94.76
143,42.50,5,0,40,94.89
144,42.51,5,0,40,95.03
145,42.51,5,0,40,95.16
146,42.52,5,0,40,95.29
147,42.53,5,0,40,95.43
148,42.54,5,0,40,95.56
149,42.54,5,0,40,95.69
150,42.55,5,0,40,95.82
151,42.56,5,0,40,95.94
152,42.57,5,0,40,96.07
153,42.57,5,0,40,96.20
154,42.58,5,0,40,96.32
155,42.59,5,0,40,96.45
156,42.60,5,0,40,96.57
157,42.60,5,0,40,96.69
158,42.61,5,0,40,96.81
159,42.62,5,0,40,96.93
160,42.62,5,0,40,97.03
161,42.63,5,0,40,97.12
162,42.64,5,0,40,97.21
163,42.65,5,0,40,97.28
164,42.65,5,0,40,97.35
165,42.66,5,0,40,97.41
166,42.66,5,0,40,97.46
167,42.67,5,0,40,97.51
168,42.67,5,0,40,97.56
169,42.68,5,0,40,97.60
170,42.68,5,0,40,97.64
171,42.69,5,0,40,97.67
172,42.69,5,0,40,97.70
173,42.70,5,0,40,97.73
174,42.70,5,0,40,97.76
175,42.70,5,0,40,97.78
176,42.71,5,0,40,97.81
177,42.71,5,0,40,97.83
178,42.71,5,0,40,97.85
179,42.71,5,0,40,97.86
180,42.72,5,0,40,97.88
1,38.68,5,1,40,38.74
2,39.23,5,1,40,40.52
3,39.60,5,1,40,42.31
4,39.87,5,1,40,44.07
5,40.10,5,1,40,45.77
6,40.29,5,1,40,47.39
7,40.45,5,1,40,48.94
8,40.60,5,1,40,50.41
